car_name,measurement_data_id,measurement_datetime,measurement_ms,latitude,longitude,gps_error_meter,accel_x_transverse,accel_y_longitudinal,accel_z_vertical,real_time_utc,real_time_jst,real_time_jst_ms,real_time_utc_ms
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020602454,37.505785,139.928607,2,0.352,0.624,9.875,2016-03-15 05:43:22.454000+00:00,2016-03-15 14:43:22.454000+09:00,2016-03-15 14:43:22.454,2016-03-15 05:43:22.454
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020602554,37.505785,139.928607,2,0.339,0.616,9.853,2016-03-15 05:43:22.554000+00:00,2016-03-15 14:43:22.554000+09:00,2016-03-15 14:43:22.554,2016-03-15 05:43:22.554
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020602654,37.505785,139.928607,2,0.35,0.628,9.827,2016-03-15 05:43:22.654000+00:00,2016-03-15 14:43:22.654000+09:00,2016-03-15 14:43:22.654,2016-03-15 05:43:22.654
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020602754,37.505785,139.928607,2,0.354,0.621,9.859,2016-03-15 05:43:22.754000+00:00,2016-03-15 14:43:22.754000+09:00,2016-03-15 14:43:22.754,2016-03-15 05:43:22.754
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020602854,37.505785,139.928607,2,0.358,0.615,9.828,2016-03-15 05:43:22.854000+00:00,2016-03-15 14:43:22.854000+09:00,2016-03-15 14:43:22.854,2016-03-15 05:43:22.854
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020602954,37.505785,139.928607,2,0.356,0.622,9.87,2016-03-15 05:43:22.954000+00:00,2016-03-15 14:43:22.954000+09:00,2016-03-15 14:43:22.954,2016-03-15 05:43:22.954
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020603054,37.505785,139.928607,2,0.362,0.608,9.851,2016-03-15 05:43:23.054000+00:00,2016-03-15 14:43:23.054000+09:00,2016-03-15 14:43:23.054,2016-03-15 05:43:23.054
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020603154,37.505785,139.928607,2,0.365,0.624,9.844,2016-03-15 05:43:23.154000+00:00,2016-03-15 14:43:23.154000+09:00,2016-03-15 14:43:23.154,2016-03-15 05:43:23.154
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020603254,37.505785,139.928607,2,0.35,0.62,9.854,2016-03-15 05:43:23.254000+00:00,2016-03-15 14:43:23.254000+09:00,2016-03-15 14:43:23.254,2016-03-15 05:43:23.254
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020603354,37.505785,139.928607,2,0.352,0.618,9.817,2016-03-15 05:43:23.354000+00:00,2016-03-15 14:43:23.354000+09:00,2016-03-15 14:43:23.354,2016-03-15 05:43:23.354
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020603454,37.505785,139.928607,2,0.351,0.621,9.818,2016-03-15 05:43:23.454000+00:00,2016-03-15 14:43:23.454000+09:00,2016-03-15 14:43:23.454,2016-03-15 05:43:23.454
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020603554,37.505785,139.928607,2,0.353,0.613,9.83,2016-03-15 05:43:23.554000+00:00,2016-03-15 14:43:23.554000+09:00,2016-03-15 14:43:23.554,2016-03-15 05:43:23.554
ecoron01,20160315_133907,2016/03/15 13:39:07,1458020603654,37.505785,139.928607,2,0.356,0.613,9.823,2016-03-15 05:43:23.654000+00:00,2016-03-15 14:43:23.654000+09:00,2016-03-15 14:43:23.654,2016-03-15 05:43:23.654
