u,v,key,length_m,accident_count
3808788397,1583520249,0,31.404,0
3808788397,1583519800,0,67.661,0
3862173409,294464611,0,118.155,0
3862173409,1583519670,0,16.091,0
3862173409,3862173406,0,95.111,0
6358916857,6358916871,0,112.503,0
6358916857,1583520496,0,8.888,0
6358916857,294464611,0,92.313,0
294464639,3792668624,0,22.871,0
294464639,3792668630,0,98.941,0
294464639,294464685,0,669.4269999999999,0
294464639,1583520676,0,71.703,0
294464639,3792668631,0,84.809,0
3792668624,294464639,0,22.871,0
3792668624,3808788388,0,16.893,0
3792668624,1583520533,0,42.67,0
3792668630,3792668634,0,57.032,0
3792668630,3792668631,0,65.613,0
294464685,5307660936,0,13.729,0
294464685,294464639,0,669.427,0
294464685,1583521998,0,229.12,0
294464685,3808724445,0,59.669000000000004,0
1583520676,1583521017,0,45.294,0
1583520676,1583520678,0,140.022,0
1583520676,294464639,0,71.703,0
3792668631,294464639,0,84.809,0
3792668631,3808788392,0,15.003,0
295234526,295234546,0,2722.9740000000006,3
295234546,295234565,0,1514.9250000000002,6
295234546,1607350414,0,342.98900000000003,0
302503430,302503464,0,754.14,30
302503430,976664202,0,339.532,4
302503464,302503738,0,4407.196999999999,152
976664202,1087756327,0,22.708,1
976664202,1087756355,0,100.13499999999999,5
302503738,1759457070,0,992.324,19
1759457070,1759457059,0,337.633,10
1759457070,302504479,0,4312.506,51
302504479,302504482,0,203.709,0
302504482,11630379136,0,374.03499999999997,0
302504482,302504577,0,2287.293,0
11630379136,11630379135,0,15.123,0
11630379136,3675524104,0,40.335,0
302504577,1087674746,0,437.71600000000007,0
302504577,1087573654,0,2758.7559999999985,0
1087674746,1791567676,0,6494.290000000001,0
1087573654,2571265202,0,907.553,0
306073125,1374740952,0,227.409,0
306073125,1374740891,0,2063.0660000000003,0
1374740952,1374740991,0,180.61599999999999,0
1374740952,12619961550,0,103.90299999999999,0
1374740891,306073196,0,190.81399999999994,0
1374740891,5945242352,0,122.43100000000001,0
306073196,306073225,0,128.273,0
306073225,306073229,0,10.704,0
306073225,306073245,0,186.00600000000003,0
306073229,306329380,0,18.094,0
306073229,306073311,0,124.177,0
306073245,558661856,0,13.244,0
306073245,306073283,0,146.765,0
306329380,558661794,0,11.406,0
306073311,306329468,0,13.91,0
306073311,558661851,0,194.225,0
558661856,558661855,0,10.024,0
558661856,558661812,0,115.202,0
306073283,5500191978,0,121.468,0
306073283,6176067421,0,16.07,0
306073257,306329599,0,11.899,0
306073257,558661870,0,556.236,0
306329599,306073257,0,11.899,0
306329599,558661810,0,118.18299999999999,0
306329599,558661865,0,93.05,0
558661870,558661704,0,104.811,0
558661870,306329594,0,306.57700000000006,0
5500191978,306073257,0,125.23199999999999,0
6176067421,6176067420,0,20.094,0
6176067421,6176067419,0,30.869999999999997,0
306329468,306329379,0,19.092,0
306329468,306329705,0,332.86400000000003,0
558661851,306329410,0,11.993,0
558661851,558661848,0,171.567,0
306073342,306329340,0,161.901,0
306073342,5468856888,0,247.94,0
306329340,1916989993,0,303.009,0
306329340,306329350,0,139.055,0
306329340,5468856888,0,125.89699999999999,0
5468856888,5468848554,0,644.6590000000001,0
1916989993,1916989996,0,94.139,0
1916989993,306329350,0,116.973,0
1916989993,306329340,0,303.009,0
