serial number,year,date,time,accident details,route,accident type,party 1,party 2,Party 3,Party 4,Party 5,latitude,longitude,elementary school district,dead
143,H29,6/1/2017,8:09,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.8066325,135.3876261,,
144,H29,6/1/2017,10:58,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.80112667,135.3919364,,
145,H29,6/2/2017,10:30,軽傷事故,一般市道,出合い頭,自転車,自動車,自転車,自転車,,34.76915389,135.42156,,
146,H29,6/2/2017,18:00,軽傷事故,一般市道,出合い頭,原付,自転車,,,,34.79719833,135.3901,,
147,H29,6/3/2017,15:25,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.76783861,135.3978511,,
148,H29,6/3/2017,19:00,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.78719,135.3752519,,
149,H29,6/5/2017,7:35,軽傷事故,一般市道,出合い頭,自転車,原付,,,,34.81171139,135.3823119,,
150,H29,6/7/2017,15:55,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.77214194,135.4193339,,
151,H29,6/8/2017,16:20,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.77123389,135.395975,,
152,H29,6/9/2017,11:30,重傷事故,一般市道,単独事故,自転車,,,,,34.77221028,135.4108522,,
153,H29,6/9/2017,13:55,軽傷事故,一般市道,出合い頭,自転車,自転車,,,,34.8058725,135.3944858,,
154,H29,6/9/2017,17:15,重傷事故,一般市道,出合い頭,自動車,自転車,,,,34.778,135.4078219,,
155,H29,6/9/2017,18:00,軽傷事故,県道伊丹豊中線,正面衝突,自転車,自転車,,,,34.7828025,135.4251036,,
156,H29,6/10/2017,8:35,軽傷事故,県道米谷昆陽尼崎線,左折時,自動車,自転車,,,,34.78206,135.3969931,,
157,H29,6/10/2017,16:00,軽傷事故,県道山本伊丹線,左折時,自動車,自転車,,,,34.78306611,135.4089819,,
158,H29,6/14/2017,7:10,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.78139194,135.4106519,,
159,H29,6/15/2017,7:40,軽傷事故,一般県道,出合い頭,自転車,自動車,,,,34.80263194,135.3978931,,
160,H29,6/15/2017,13:20,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.7947275,135.3962844,,
161,H29,6/15/2017,18:30,軽傷事故,県道尼崎宝塚線,単独事故,自転車,,,,,34.78990611,135.380315,,
162,H29,6/15/2017,20:00,軽傷事故,一般市道,出合い頭,二輪車,自転車,,,,34.78897778,135.3741619,,
163,H29,6/16/2017,18:15,軽傷事故,県道尼崎池田線,出合い頭,二輪車,自転車,,,,34.77316361,135.4188667,,
164,H29,6/17/2017,8:10,軽傷事故,一般市道,出合い頭,自転車,自動車,,,,34.79810694,135.4048589,,
165,H29,6/19/2017,8:15,軽傷事故,一般市道,正面衝突,自転車,二輪車,,,,34.777785,135.3810981,,
166,H29,6/19/2017,14:40,軽傷事故,県道寺本伊丹線,追い越し時,自転車,不明,,,,34.78092361,135.4074706,,
167,H29,6/20/2017,14:40,軽傷事故,一般市道,出合い頭,自転車,原付,,,,34.78987194,135.4111261,,
168,H29,6/20/2017,23:05,軽傷事故,県道山本伊丹線,出合い頭,自転車,二輪車,,,,34.78637694,135.4076911,,
169,H29,6/24/2017,22:30,重傷事故,県道米谷昆陽尼崎線,出合い頭,自転車,自動車,,,,34.76407194,135.4107969,,
170,H29,6/25/2017,18:18,軽傷事故,県道山本伊丹線,左折時,自動車,自転車,,,,34.78913194,135.4063231,,
171,H29,6/27/2017,14:00,軽傷事故,国道171号,右折時,自動車,自転車,,,,34.7742875,135.3849417,,
172,H29,7/3/2017,17:03,軽傷事故,一般市道,右折時,自動車,自転車,,,,34.78955611,135.3751131,,
173,H29,7/4/2017,8:15,軽傷事故,一般市道,出合い頭,不明,自転車,,,,34.79946167,135.4049461,,
174,H29,7/4/2017,13:25,軽傷事故,一般市道,左折時,自動車,自転車,,,,34.77242806,135.3962731,,
175,H29,7/6/2017,7:25,軽傷事故,県道尼崎宝塚線,左折時,自動車,自転車,,,,34.770025,135.3849689,,
176,H29,7/6/2017,22:06,軽傷事故,県道中野中筋線,車両相互,自転車,自動車,,,,34.80558111,135.383675,,
177,H29,7/7/2017,19:30,軽傷事故,一般市道,左折時,自動車,自転車,,,,34.79076528,135.3767281,,
178,H29,7/7/2017,21:08,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.79235222,135.4026294,,
179,H29,7/9/2017,17:40,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.797765,135.4040089,,
180,H29,7/10/2017,8:15,軽傷事故,一般市道,出合い頭,自動車,自転車,,,,34.80727917,135.3997342,,
